symbol,name_zh,coverage_bucket,research_group,seed_status,seed_date,research_group_id,legacy_research_group,business_tags,industry_tags,taxonomy_version,taxonomy_effective_from,metadata_as_of
ASML,ASML,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ARM,Arm,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
QCOM,高通,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MRVL,Marvell,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
AMAT,应用材料,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
LRCX,泛林,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
KLAC,科磊,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MPWR,芯源系统,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ANET,Arista,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
DELL,戴尔,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SMCI,超微电脑,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
VRT,Vertiv,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
LITE,Lumentum,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
COHR,Coherent,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
GLW,康宁,科技与成长主题,算力网络与光通信,curated_pending_live_validation,2026-09-15,compute-network-optics,算力网络光通信与存储,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
WDC,西部数据,科技与成长主题,存储与内存,curated_pending_live_validation,2026-09-15,storage-memory,算力网络光通信与存储,HDD,数据存储设备,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SNDK,Sandisk,科技与成长主题,存储与内存,curated_pending_live_validation,2026-09-15,storage-memory,算力网络光通信与存储,NAND|SSD,闪存与存储,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
STX,希捷,科技与成长主题,存储与内存,curated_pending_live_validation,2026-09-15,storage-memory,算力网络光通信与存储,HDD|HAMR,数据存储设备,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
PLTR,Palantir,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CRM,Salesforce,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ADBE,Adobe,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NOW,ServiceNow,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SNOW,Snowflake,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
DDOG,Datadog,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CRWD,CrowdStrike,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
PANW,Palo Alto Networks,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ZS,Zscaler,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NET,Cloudflare,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
APP,AppLovin,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SHOP,Shopify,科技与成长主题,软件与网络安全,curated_pending_live_validation,2026-09-15,software-cybersecurity,软件与网络安全,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CRWV,CoreWeave,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NBIS,Nebius,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
IREN,IREN,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
RKLB,Rocket Lab,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ASTS,AST SpaceMobile,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
IONQ,IonQ,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
COIN,Coinbase,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MSTR,Strategy,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
HOOD,Robinhood,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CRCL,Circle,科技与成长主题,新兴科技与数字资产关联,curated_pending_live_validation,2026-09-15,emerging-tech-digital-assets,新兴科技与数字资产关联,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
UBER,Uber,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ABNB,Airbnb,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
BABA,阿里巴巴,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
PDD,拼多多,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
JD,京东,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SOFI,SoFi,科技与成长主题,数字平台与中概及金融科技,curated_pending_live_validation,2026-09-15,group-dfc60fe6d1,数字平台与中概及金融科技,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
JPM,摩根大通,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
BAC,美国银行,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
GS,高盛,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MS,摩根士丹利,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
BRK-B,伯克希尔B,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
V,Visa,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MA,Mastercard,非科技主题,金融与支付,curated_pending_live_validation,2026-09-15,financials-payments,金融与支付,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
LLY,礼来,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NVO,诺和诺德,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
UNH,联合健康,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
JNJ,强生,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ABBV,艾伯维,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
PFE,辉瑞,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ISRG,直觉外科,非科技主题,医疗与医药,curated_pending_live_validation,2026-09-15,healthcare,医疗与医药,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
WMT,沃尔玛,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
COST,Costco,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
HD,家得宝,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NKE,耐克,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MCD,麦当劳,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
SBUX,星巴克,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
DIS,迪士尼,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
RCL,皇家加勒比,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CVNA,Carvana,非科技主题,消费与旅游,curated_pending_live_validation,2026-09-15,consumer-travel,消费与旅游,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CAT,卡特彼勒,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
DE,迪尔,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
BA,波音,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
GE,GE Aerospace,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
RTX,RTX,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
LMT,洛克希德马丁,非科技主题,工业与国防,curated_pending_live_validation,2026-09-15,industrials-defense,工业与国防,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
XOM,埃克森美孚,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CVX,雪佛龙,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
OXY,西方石油,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
GEV,GE Vernova,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
CEG,Constellation Energy,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
VST,Vistra,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ETN,伊顿,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
FCX,自由港麦克莫兰,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NEM,纽蒙特,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MP,MP Materials,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
OKLO,Oklo,非科技主题,能源电力与资源,curated_pending_live_validation,2026-09-15,energy-power-resources,能源电力与资源,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
